iter	Passed	Remaining
644	2679	5629
645	2683	5624
646	2687	5619
647	2690	5613
648	2694	5608
649	2698	5604
650	2701	5598
651	2705	5594
652	2709	5589
653	2713	5585
654	2718	5581
655	2722	5577
656	2726	5574
657	2731	5570
658	2735	5566
659	2740	5563
660	2744	5560
661	2749	5556
662	2754	5554
663	2758	5550
664	2763	5546
665	2767	5543
666	2772	5540
667	2777	5538
668	2781	5533
669	2785	5528
670	2789	5524
671	2793	5519
672	2797	5516
673	2802	5512
674	2806	5509
675	2811	5505
676	2815	5501
677	2819	5497
678	2824	5494
679	2828	5490
680	2833	5487
681	2837	5483
682	2841	5479
683	2846	5475
684	2850	5471
685	2854	5467
686	2858	5462
687	2862	5458
688	2866	5453
689	2870	5449
690	2873	5444
691	2877	5438
692	2881	5433
693	2884	5428
694	2888	5423
695	2892	5418
696	2895	5413
697	2899	5409
698	2904	5405
699	2908	5402
700	2913	5398
701	2918	5396
702	2922	5391
703	2926	5387
704	2930	5382
705	2933	5377
706	2938	5373
707	2941	5367
708	2945	5362
709	2948	5357
710	2952	5353
711	2956	5348
712	2961	5344
713	2965	5340
714	2968	5335
715	2972	5331
716	2977	5327
717	2981	5322
718	2984	5317
719	2989	5314
720	2992	5309
721	2996	5304
722	3000	5299
723	3004	5294
724	3008	5289
725	3011	5284
726	3015	5279
727	3019	5275
728	3023	5271
729	3027	5266
730	3031	5262
731	3035	5257
732	3038	5252
733	3042	5248
734	3046	5243
735	3050	5238
736	3053	5233
737	3057	5228
738	3061	5223
739	3065	5219
740	3069	5215
741	3074	5212
742	3078	5207
743	3082	5203
744	3086	5198
745	3089	5193
746	3093	5189
747	3097	5184
748	3100	5179
749	3104	5174
750	3109	5170
751	3112	5165
752	3116	5161
753	3120	5157
754	3124	5152
755	3128	5147
756	3132	5143
757	3135	5137
758	3139	5132
759	3142	5127
760	3147	5124
761	3151	5119
762	3155	5115
763	3159	5111
764	3164	5108
765	3168	5104
766	3172	5099
767	3176	5095
768	3180	5090
769	3184	5086
770	3188	5082
771	3192	5077
772	3195	5072
773	3199	5067
774	3203	5063
775	3207	5059
776	3211	5054
777	3215	5049
778	3218	5045
779	3222	5040
780	3227	5037
781	3231	5032
782	3235	5028
783	3239	5024
784	3242	5019
785	3246	5014
786	3250	5010
787	3254	5005
788	3258	5000
789	3261	4996
790	3265	4991
791	3269	4986
792	3273	4982
793	3277	4977
794	3280	4972
795	3284	4967
796	3287	4962
797	3293	4961
798	3297	4956
799	3301	4951
800	3304	4946
801	3310	4945
802	3315	4942
803	3319	4938
804	3323	4934
805	3327	4929
806	3331	4924
807	3335	4920
808	3338	4915
809	3342	4910
810	3346	4906
811	3350	4901
812	3353	4896
813	3357	4892
814	3361	4887
815	3365	4882
816	3368	4878
817	3372	4873
818	3376	4869
819	3380	4865
820	3385	4861
821	3389	4857
822	3394	4854
823	3399	4851
824	3403	4847
825	3408	4844
826	3412	4840
827	3416	4836
828	3420	4832
829	3424	4827
830	3428	4822
831	3431	4817
832	3435	4813
833	3439	4808
834	3443	4804
835	3447	4800
836	3451	4796
837	3455	4791
838	3459	4787
839	3463	4782
840	3467	4778
841	3471	4774
842	3476	4771
843	3480	4767
844	3484	4762
845	3488	4758
846	3492	4754
847	3496	4749
848	3499	4744
849	3503	4739
850	3507	4735
851	3511	4730
852	3514	4726
853	3518	4722
854	3522	4717
